titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
Devops Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, python, c#, c++, sql, powershell, bash, aws, docker, git, restful apis, scrum, ci/cd, devops, machine learning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Agentic React + Node Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"javascript, c++, sql, aws, azure, gcp, restful apis, scrum, ci/cd, machine learning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Analista De Datos De Talento - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"python, sql, excel, machine learning, análisis de datos","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, atención al detalle, creatividad, inglés avanzado"
Analista De Business Intelligence - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"sql, excel, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, atención al detalle, creatividad, inglés avanzado"
Databricks Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"python, c++, sql, aws, azure, gcp, kubernetes, docker, git, scrum, ci/cd, machine learning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Ecuador Remote Customer Service And Tech Support,TurnkeyISP,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, machine learning",trabajo en equipo
Gerente De Reclutamiento - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, gestión del tiempo, creatividad, inglés avanzado"
Senior De Automatización De QA / Investigación Y,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,,Desarrollador de Software,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
IT Recruiter Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, comunicación, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado, multitarea"
Senior Data Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"python, c++, sql, gcp, git, scrum, machine learning","trabajo en equipo, orientación a resultados, atención al detalle, inglés avanzado"
Desarrollador Eventual,Chubb INA Holdings Inc.,"Guayaquil, Guayas",,,,Desarrollador de Software,"java, javascript, c#, c++, html/css, sql, aws, git, restful apis, scrum, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","comunicación, resolución de problemas, orientación a resultados, atención al detalle, inglés avanzado"
Desarrollador Backend Senior,I-Route Solutions S.A,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"javascript, php, c#, sql, restful apis, scrum, desarrollo web, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador Software .NET,Dazidato,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, javascript, c#, html/css, sql, kotlin, aws, azure, docker, git, selenium, power bi, microservicios, restful apis, devops, machine learning, windows, desarrollo web, desarrollo móvil, desarrollo de software","gestión del tiempo, trabajo en equipo, resolución de problemas, aprendizaje continuo"
"Desarrollador Nest SSR Presencial Quito, Ecuador",Sofka,"Quito, Pichincha",,Presencial,tiempo completo,Desarrollador de Software,"javascript, aws, kubernetes, microservicios, restful apis, ci/cd, machine learning, desarrollo web, programación, desarrollo de software","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Desarrollador Frontend,Bayteq,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, javascript, html/css, aws, azure, git, cypress, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, gestión del tiempo, creatividad"
Desarrollador Proyectos Utilty,Genera : Energia Solar en Ecuador,"Samborondón, Guayas",,,tiempo completo,Desarrollador de Software,desarrollo de software,"trabajo en equipo, resolución de problemas, aprendizaje continuo"
Work From Home C Developer Ref. 0043E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, resolución de problemas, adaptabilidad, proactividad, inglés avanzado"
Work From Home Frontend Developer Ref. 0054E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, c++, html/css, excel, restful apis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado"
Work From Home Junior Python Backend Developer Research Development Ref. 0071E RD,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"python, sql, excel, restful apis, devops, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
.NET Developer - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,"c#, sql, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Trabajo Desde Casa Desarrollador React Juniormidlevel Ref. 0169S,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, javascript, html/css, aws, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, gestión del tiempo, creatividad"
DESARROLLADOR ERP,Jaher,"Cuenca, Azuay",,,tiempo completo,Desarrollador de Software,"java, javascript, sql, excel, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, proactividad, creatividad"
Desarrollador De Mercado,Vita,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, resolución de problemas, aprendizaje continuo"
Trabajo Desde Casa Desarrollador PHP Ref. 0021S,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"php, sql, microservicios, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, gestión del tiempo, creatividad"
Backend Developer – Implementación,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, javascript, sql, aws, git, restful apis, scrum, ci/cd, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, liderazgo, resolución de problemas, atención al detalle"
Drupal Developer - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, machine learning, desarrollo de software","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Desarrollador De Sistemas,Asertec Seguros,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, javascript, c++, excel, restful apis, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Senior Perl Developer - Remote,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,"git, excel, restful apis, scrum, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Desarrollador De Sitios Web,Vacantes Empleos.Net,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, html/css, excel, machine learning, wordpress, desarrollo web, desarrollo móvil, desarrollo de software","adaptabilidad, atención al detalle, proactividad, gestión del tiempo, creatividad, inglés avanzado"
Senior Angular 2+ Developer - Remote,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, html/css, sql, excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Blockchain Developer - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, c++, excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
React Nextjs Developer Desarrollador Web,ALVAREZ FLORES MARCELO SEBASTIAN,"Cuenca, Azuay",,,,Desarrollador de Software,"machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Nativescript Developer - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"javascript, html/css, excel, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Golang Developer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, git, scrum, machine learning, desarrollo de software","trabajo en equipo, orientación a resultados, atención al detalle, inglés avanzado"
Senior .NET Developer Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c#, sql, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Senior Ruby On Rails Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, c++, html/css, aws, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Senior UX/UI Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, scrum, machine learning, desarrollo de software","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Programador,INTERVIU S.A.,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, javascript, python, php, c++, html/css, sql, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, resolución de problemas, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Dev. Fullstack,Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, c#, sql, git, restful apis","trabajo en equipo, creatividad"
Ingeniero Java,BairesDev,"Guayaquil, Guayas",,,,Desarrollador de Software,"java, javascript, azure, kubernetes, git, cypress, excel, restful apis, scrum, machine learning","trabajo en equipo, liderazgo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado, mentoría"
Ingeniero De Software,Soriseg Cía. Ltda,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, python, c++, sql, gcp, restful apis",No especificado
Java Tech Lead,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, excel, scrum, ci/cd, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado, mentoría"
.NET Core Tech Lead - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c#, sql, jira, excel, restful apis, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Ingeniero Android - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, proactividad, gestión del tiempo, creatividad, inglés avanzado"
Scrum Master / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, scrum, devops, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
Senior React Engineer Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, c++, html/css, aws, excel, restful apis, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Especialista De Analisis De Datos Con Programación,Talenter Ecuador,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"python, sql, power bi","trabajo en equipo, resolución de problemas, orientación a resultados, atención al detalle, pensamiento crítico"
Scrum Master - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, scrum, devops, machine learning","trabajo en equipo, comunicación, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
Aws Cloudformation Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,"aws, azure, kubernetes, docker, git, excel, machine learning","trabajo en equipo, comunicación, orientación a resultados, inglés avanzado"
AWS/Kubernetes Devops Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"python, c++, bash, aws, gcp, kubernetes, docker, git, scrum, ci/cd, devops, machine learning, linux","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Ingeniero De Datos - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
Senior Site Reliability Engineer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"python, bash, aws, kubernetes, excel, machine learning, linux","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, inglés avanzado"
Gerente De Soluciones / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, restful apis, scrum, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
PASANTE DE SISTEMAS,DP World,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"docker, jira, restful apis, windows","trabajo en equipo, liderazgo, adaptabilidad, gestión del tiempo, creatividad"
Asistente De Selección,RP3 Retail Software,Guayas,,,tiempo completo,Desarrollador de Software,No especificado,trabajo en equipo
Representante De Éxito Del Cliente - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, restful apis, machine learning","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, creatividad, inglés avanzado, mentoría"
CONDUCTOR DE ITV,DP World,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"docker, restful apis","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, gestión del tiempo, creatividad"
Profesionales En Energías Renovables (Remoto),CAAP - CENTRO DE AYUDA ACADÉMICA PROFESIONAL,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,No especificado,"trabajo en equipo, adaptabilidad, orientación a resultados, aprendizaje continuo, gestión del tiempo"
HRIS Business Analyst - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"c++, scrum, ci/cd, machine learning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Desarrollador De Software Frontend Junior,Iberoamerican University Foundation (FUNIBER),"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, javascript, python, php, html/css, sql, docker, jenkins, git, excel, restful apis, scrum, ci/cd, devops, machine learning, linux, wordpress, nuxt.js, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, resolución de problemas, proactividad, gestión del tiempo, creatividad, inglés avanzado"
Desarrollador Junior,LueCod,Azuay,,,,Desarrollador de Software,"java, python, c++, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, comunicación, aprendizaje continuo, proactividad"
Desarrollador TAT,La Universal,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"excel, desarrollo web, desarrollo móvil, desarrollo de software","adaptabilidad, creatividad, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarollador Angular / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"java, javascript, html/css, sql, excel, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Desarrollador Erp,Jaher,"Cuenca, Azuay",,,,Desarrollador de Software,"java, javascript, sql, excel, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, proactividad, creatividad"
Desarrollador Java,Neoris,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, aws, git, microservicios, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Principal Full Stack Developer With React,Teramind,"Guayaquil, Guayas",,Remoto,,Desarrollador de Software,"java, javascript, c++, html/css, sql, docker, git, excel, restful apis, ci/cd, devops, machine learning, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, atención al detalle, inglés avanzado"
Analista Desarrollador De Software,Almacenes Mirna,"Guayaquil, Guayas",,,,Desarrollador de Software,"java, javascript, c#, html/css, sql, aws, git, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Desarrollador Con Experiencia En PHP,Itd Innovación Tecnología Y Desarrollo S.A.,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"java, javascript, php, html/css, sql, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","atención al detalle, gestión del tiempo, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Work From Home Salesforce Developer Ref. 0102E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"git, excel, machine learning, salesforce, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado"
Trabajo Desde Casa Desarrollador Fullstack .NET Angular Investigación Y Desarrollo Ref. 0001S RD,BairesDev,"Quito, Pichincha",,,tiempo completo,Desarrollador de Software,"javascript, c#, c++, html/css, sql, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad"
Desarrollador Senior,Corporación Empresarial Eljuri,"Cuenca, Azuay",,Presencial,tiempo completo,Desarrollador de Software,"git, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, orientación a resultados"
Mid-Level Flask Developer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,"javascript, python, c++, git, scrum, machine learning, desarrollo de software","trabajo en equipo, orientación a resultados, atención al detalle, inglés avanzado"
Senior Flutter Developer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"javascript, c++, restful apis, scrum, ci/cd, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
? Ejecutivo Comercial Senior Y Supervisor Comercial ? Desarrollador De Negocios,Confidencial,"Guayaquil, Guayas",,Presencial,tiempo completo,Desarrollador de Software,"restful apis, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo"
Junior Angular Developer / R+D - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, html/css, sql, excel, restful apis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Golang Developer - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"sql, aws, docker, excel, microservicios, restful apis, scrum, ci/cd, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Senior SAP Hana Developer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, sql, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
Senior Vue.Js Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,,Desarrollador de Software,"java, javascript, excel, restful apis, machine learning, desarrollo web, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Senior Kafka Developer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, restful apis, ci/cd, machine learning, desarrollo de software","trabajo en equipo, comunicación, adaptabilidad, inglés avanzado, mentoría"
Senior Netsuite ERP Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Senior Ios Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Programador En React Native,Desarsoft S.A.,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"javascript, desarrollo web, desarrollo móvil, desarrollo de software","adaptabilidad, atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Senior Shopify Developer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Senior Shopify Developer Latam,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, restful apis, machine learning, desarrollo de software","trabajo en equipo, adaptabilidad, proactividad, inglés avanzado, mentoría"
Software Engineer Python - Remote,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"python, c++, sql, git, excel, restful apis, machine learning","trabajo en equipo, adaptabilidad, atención al detalle, proactividad, inglés avanzado, mentoría"
Programador Junior Temporal,Consultora De Talento Humano Ml,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"java, javascript, html/css, restful apis, machine learning, desarrollo web, desarrollo de software","atención al detalle, trabajo en equipo, resolución de problemas, aprendizaje continuo"
C++ Tech Lead - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"c++, excel, machine learning","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
UI Designer / I+D - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,tiempo completo,Desarrollador de Software,"excel, scrum, machine learning","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Work From Home Fullstack Javascript Engineer React Node Ref. 0289E,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, sql, aws, docker, excel, restful apis, machine learning","trabajo en equipo, comunicación, adaptabilidad, inglés avanzado"
Java Engineer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,,Desarrollador de Software,java,atención al detalle
Senior Devops - Remote,BairesDev,"Anywhere, Guayas",,Remoto,,Desarrollador de Software,"c++, sql, excel, microservicios, scrum, ci/cd, devops, machine learning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Deep Learning Hardware Engineer,Iris Capital,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"c++, excel, machine learning","trabajo en equipo, comunicación, aprendizaje continuo"
Agile Coach / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,,Desarrollador de Software,"excel, scrum, devops, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
Senior Big Data Engineer Latam Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Partner En Adquisición De Talentos - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"excel, machine learning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Técnico En Soporte,SoftwareONE,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"git, excel, restful apis, scrum, windows","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, proactividad, gestión del tiempo"
Soporte TI,TELDISCORP,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,No especificado,"trabajo en equipo, liderazgo, gestión del tiempo"
Líder De Automatización QA - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,Desarrollador de Software,"jira, excel, restful apis, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico"
Senior AI/ML Full Stack Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"c++, sql, restful apis, scrum, ci/cd, machine learning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Ingeniero De Soporte En Redes,Hitss Ecuador,"Guayaquil, Guayas",,,tiempo completo,Desarrollador de Software,"powershell, bash, excel, linux, windows",resolución de problemas
"Data Engineer - Remote, Latin America",Bluelight,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"c++, sql, aws, git, excel, power bi, restful apis, scrum, machine learning, linux, salesforce","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo"
Senior Elixir Engineer With React Skills - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,tiempo completo,Desarrollador de Software,"javascript, c++, scrum, ci/cd, machine learning, playwright","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
